id,author_cn_name,author_en_name,author_org,backups
103608,齐鹏,,哲学院,哲学
103609,应杰,,哲学院,哲学
103610,李兵,,社会与人口学院,社会学
103611,张建宝,,哲学院,哲学
103612,李雅琴,,法学院,法学
103613,张广兴,,经济学院,理论经济学
103614,陶铮,"Tao, Zheng",商学院,工商管理
103616,张小平,,国际关系学院,政治学
103617,王霞,,哲学院,哲学
103618,顾文兵,,马克思主义学院,马克思主义理论
103619,李雪婷,,商学院,工商管理
103620,熊建华,,公共管理学院,公共管理
103621,范叶超,,社会与人口学院,社会学
103622,宋洁尘,,应用经济学院,应用经济学
103623,傅华,,信息资源管理学院,信息资源管理
103624,邵国栋,,劳动人事学院,公共管理
103626,史璐,,公共管理学院,公共管理
103627,肖永奎,,哲学院,哲学
103628,杨珮茹,"Yang, Peiru",法学院,法学
103629,王亚楠,"Wang, Yanan",劳动人事学院,公共管理
103630,杨兴斌,,公共管理学院,公共管理
103632,吕冰洋,,应用经济学院,应用经济学
103633,刘蕾,,公共管理学院,公共管理
103634,周薇,,法学院,法学
103635,王义桅,,国际关系学院,政治学
103636,杨石华,,新闻学院,新闻传播学
103637,宁雅,,历史学院,中国史
103638,杜厚文,,经济学院,理论经济学
103639,罗琴,,公共管理学院,公共管理
103640,冯佳,,外国语学院,外国语言文学
103641,张鹤,"Zhang, He",财政金融学院,应用经济学
103642,刘小青,,公共管理学院,公共管理
103643,李华,,经济学院,理论经济学
103644,陈晶,,商学院,工商管理
103645,刘幸,,商学院,工商管理
103646,方虹,,商学院,工商管理
103647,朱兰兰,,信息资源管理学院,信息资源管理
103648,左美云,"Zuo, Meiyun",信息学院,计算机科学与技术
103649,董笃笃,,法学院,法学
103650,向祥华,,经济学院,理论经济学
103651,闵云童,,文学院,中国语言文学
103652,陈超,,国际关系学院,政治学
103653,魏喆,,马克思主义学院,马克思主义理论
103654,秦国庆,,农业与农村发展学院,农林经济管理
103655,张兆刚,,马克思主义学院,马克思主义理论
103656,汪蕾,,信息资源管理学院,信息资源管理
103657,何睿,,新闻学院,新闻传播学
103658,谢菁,,财政金融学院,应用经济学
103659,本刊特约评论员,,新闻学院,新闻传播学
103660,赵静波,,哲学院,哲学
103661,杨亚琦,"Yang, Yaqi",统计学院,统计学
103662,卢卫,"Lu, Wei;Lu, Wei;Lu, Wei;Lu, Wei",信息学院,计算机科学与技术
103663,雷祺,,商学院,工商管理
103664,莫言,,文学院,中国语言文学
103665,张新泽,,财政金融学院,应用经济学
