id,author_cn_name,author_en_name,author_org,backups
85271,李布,,商学院,工商管理
85272,王春娣,,法学院,法学
85273,杨原,,历史学院,中国史
85274,张欣沛,,劳动人事学院,公共管理
85275,刘彦涛,,哲学院,哲学
85276,欧阳辉纯,,哲学院,哲学
85277,田永香,,信息资源管理学院,信息资源管理
85278,郭桂昆,,外国语学院,外国语言文学
85279,王虹艳,,外国语学院,外国语言文学
85280,陈咏英,,商学院,工商管理
85281,何青叶,,法学院,法学
85282,吕春晖,,财政金融学院,应用经济学
85283,许琳,,财政金融学院,应用经济学
85284,孔凡青,,哲学院,哲学
85285,黄华继,,应用经济学院,应用经济学
85286,廉水杰,,国学院,中国语言文学
85287,刘名军,,新闻学院,新闻传播学
85288,冯特君,,国际关系学院,政治学
85289,雨天同行,,商学院,工商管理
85290,桂涛,,历史学院,中国史
85291,聂宏光,,法学院,法学
85292,王翼龙,,商学院,工商管理
85293,朱静,,信息资源管理学院,信息资源管理
85294,江丽娜,,马克思主义学院,马克思主义理论
85295,何春丽,,法学院,法学
85296,许莲丽,,法学院,法学
85297,聂慧苹,,法学院,法学
85298,陈锴,,农业与农村发展学院,农林经济管理
85299,尤原庆,,信息资源管理学院,信息资源管理
85300,李贤珠,,经济学院,理论经济学
85301,郑东华,,马克思主义学院,马克思主义理论
85302,高如辰,,国学院,中国语言文学
85303,赵德波,,文学院,中国语言文学
85304,吕天佑,,历史学院,中国史
85305,毛乃纯,,法学院,法学
85306,蒋孝军,,哲学院,哲学
85307,熊伟,,国际关系学院,政治学
85308,吴建伟,,马克思主义学院,马克思主义理论
85309,伍文娟,,马克思主义学院,马克思主义理论
85310,刘铎,,社会与人口学院,社会学
85311,王燕飞,,外国语学院,外国语言文学
85312,赵文启,,新闻学院,新闻传播学
85313,倪伟波,,哲学院,哲学
85314,张学源,,财政金融学院,应用经济学
85315,汤钧,,经济学院,理论经济学
85316,牛毅,"Niu, Yi",公共管理学院,公共管理
85317,张甜,,劳动人事学院,公共管理
85318,赖昌干,,公共管理学院,公共管理
85319,罗军,,信息资源管理学院,信息资源管理
85320,魏万磊,,国际关系学院,政治学
85321,赵禹铭,,经济学院,理论经济学
85322,段自成,,历史学院,中国史
85323,张学昕,,文学院,中国语言文学
85324,谷亚红,,国际关系学院,政治学
85325,陈昱,,文学院,中国语言文学
85326,张晓苇,,新闻学院,新闻传播学
85327,陈大刚,,哲学院,哲学
85328,何云月,,财政金融学院,应用经济学
85329,肖红春,,哲学院,哲学
85330,陆平,,国学院,中国语言文学
85331,朱忠武,,劳动人事学院,公共管理
85332,薛东阳,,经济学院,理论经济学
85333,蔡瑾,,应用经济学院,应用经济学
85334,焦振涛,,艺术学院,艺术学理论
85335,鲍建竹,,哲学院,哲学
85336,曾建立,,历史学院,中国史
85337,陈伟文,,国学院,中国语言文学
85338,段志丹,,马克思主义学院,马克思主义理论
85339,黄俏,,社会与人口学院,社会学
85340,罗桂芬,"Luo, Guifen",劳动人事学院,公共管理
85341,徐惠珍,,信息资源管理学院,信息资源管理
85342,郑德武,,商学院,工商管理
85343,杨海军,,商学院,工商管理
85344,许晓明,,环境学院,环境科学与工程
85345,曹凤祥,,历史学院,中国史
85346,李学彦,,经济学院,理论经济学
85347,密素敏,,历史学院,中国史
85348,姚文,,商学院,工商管理
85349,张桥,,国学院,中国语言文学
85350,肖守中,,劳动人事学院,公共管理
85351,犁铧,,马克思主义学院,马克思主义理论
85352,杨知文,,法学院,法学
85353,谭绍木,,法学院,法学
85354,田园,,外国语学院,外国语言文学
85355,李怀亮,,文学院,中国语言文学
85356,许长青,,经济学院,理论经济学
85357,李曦,,哲学院,哲学
85358,徐小鹰,,经济学院,理论经济学
85359,蒲东君,,财政金融学院,应用经济学
85360,王晓芊,,商学院,工商管理
85361,杨存田,,国际文化交流学院,语言学
85362,韩钰,,信息资源管理学院,信息资源管理
85363,郭昕,,哲学院,哲学
85364,朱世海,,法学院,法学
85365,徐凤章,,商学院,工商管理
85366,韩禄,,马克思主义学院,马克思主义理论
85367,易丽丽,,公共管理学院,公共管理
85368,那仁朝格图,,历史学院,中国史
85369,刘爱芹,,统计学院,统计学
85370,李冬楠,,历史学院,中国史
85371,聂敏理,"Minli, Nie;Nie, Minli",哲学院,哲学
85372,李青山,,法学院,法学
85373,潘硕,,马克思主义学院,马克思主义理论
85374,陈耀庭,,经济学院,理论经济学
85375,吴婷,,公共管理学院,公共管理
85376,黄薇薇,,文学院,中国语言文学
85377,苏晨辉,,统计学院,统计学
85378,陈 岳,,国际关系学院,政治学
85379,刘文秀€,,国际关系学院,政治学
85380,鞠岩,,国学院,中国语言文学
85381,李丙权,,文学院,中国语言文学
85382,王昊,,经济学院,理论经济学
85383,蔡云红,,法学院,法学
85384,黎斌,"Bin, Li",商学院,工商管理
85385,贾文华,,历史学院,中国史
85386,苏小宁,,财政金融学院,应用经济学
85387,王芸,,财政金融学院,应用经济学
85388,孙若君,"Ruojun, Sun",法学院,法学
85389,牛昢昢,,历史学院,中国史
85390,林仪,,外国语学院,外国语言文学
85391,马云飞,,国际关系学院,政治学
85392,饶沛,,新闻学院,新闻传播学
85393,张小雪,,新闻学院,新闻传播学
85394,刘春雨,,艺术学院,艺术学理论
85395,徐浩然,,国际关系学院,政治学
85396,王义忠,,哲学院,哲学
85397,张忠民,,经济学院,理论经济学
85398,叶友珍,,文学院,中国语言文学
85399,吴绮雯,,历史学院,中国史
85400,张魏魏,,哲学院,哲学
85401,魏智武,,信息资源管理学院,信息资源管理
85402,秦慧源,,哲学院,哲学
85403,李剑波,,财政金融学院,应用经济学
85404,荻原裕敏,,国学院,中国语言文学
85405,成力杰,,哲学院,哲学
85406,刘贤贞,,法学院,法学
85407,苏正,,商学院,工商管理
85408,曹晔,,历史学院,中国史
85409,王羚,,新闻学院,新闻传播学
85410,邱靖嘉,,历史学院,中国史
85411,丁振京,,农业与农村发展学院,农林经济管理
85412,付一耀,,法学院,法学
85413,宋全喜,,公共管理学院,公共管理
85414,杨逢真,,商学院,工商管理
85415,李艳花,,公共管理学院,公共管理
85416,景晓平,,历史学院,中国史
85417,周泉根,,文学院,中国语言文学
85418,徐华兰,,国学院,中国语言文学
85419,郭莉,,法学院,法学
85420,凌建侯,,外国语学院,外国语言文学
85421,盛福荣,,国际关系学院,政治学
85422,汪翠萍,,文学院,中国语言文学
85423,朱君,,经济学院,理论经济学
85424,王德升,,商学院,工商管理
85425,米湘月,,新闻学院,新闻传播学
85426,杜玥,,马克思主义学院,马克思主义理论
85427,董涛,,马克思主义学院,马克思主义理论
85428,潘庸鲁,,法学院,法学
85429,杨翔宇,,历史学院,中国史
85430,郭垒,,哲学院,哲学
85431,冀天,,国际关系学院,政治学
85432,王昱清,,马克思主义学院,马克思主义理论
85433,韩泽东,,社会与人口学院,社会学
85434,吴艳,,文学院,中国语言文学
85435,燕海雄,,文学院,中国语言文学
85436,邵新,,法学院,法学
85437,李进书,,文学院,中国语言文学
85438,刘开淼,,哲学院,哲学
85439,戴晓光,,文学院,中国语言文学
85440,张亚芸,,经济学院,理论经济学
85441,聂荣显,,信息资源管理学院,信息资源管理
85442,张启正,,国际关系学院,政治学
85443,唐东哲,,哲学院,哲学
85444,孙远东,,农业与农村发展学院,农林经济管理
85445,郭翰超,,公共管理学院,公共管理
85446,尚文思,,经济学院,理论经济学
85447,韩雪青,,马克思主义学院,马克思主义理论
85448,孟倩,,新闻学院,新闻传播学
85449,章娜,,环境学院,环境科学与工程
85450,董尚雯,,劳动人事学院,公共管理
85451,崔国清,,文学院,中国语言文学
85452,汤健,,信息资源管理学院,信息资源管理
85453,宣小红,,信息资源管理学院,信息资源管理
85454,洪越,"Hong, Yue",文学院,中国语言文学
85455,张朕,,文学院,中国语言文学
85456,常宗耀,,马克思主义学院,马克思主义理论
85457,刘玉印,,国际关系学院,政治学
85458,邵永选,,哲学院,哲学
85459,任卓冉,,法学院,法学
85460,马婷,,文学院,中国语言文学
85461,崔雯,,国际关系学院,政治学
85462,朱宝元,,历史学院,中国史
85463,詹万里,,新闻学院,新闻传播学
85464,石鹏,,历史学院,中国史
85465,张晋,,马克思主义学院,马克思主义理论
85466,文哲,,法学院,法学
85467,樊瑞华,,商学院,工商管理
85468,石如根,,经济学院,理论经济学
85469,吴京芳,,商学院,工商管理
85470,康子冉,,经济学院,理论经济学
85471,陈明涛,,法学院,法学
85472,郭慧,,新闻学院,新闻传播学
85473,徐志军,,法学院,法学
85474,罗树志,,法学院,法学
85475,王德领,,文学院,中国语言文学
85476,周珺,"Zhou, Jun",商学院,工商管理
85477,张庆园,,新闻学院,新闻传播学
85478,陈朝仑,,法学院,法学
85479,魏博,,哲学院,哲学
85480,陈静若,,哲学院,哲学
85481,卜天舒,,国学院,中国语言文学
85482,孙世柳,,哲学院,哲学
85483,傅凤英,,哲学院,哲学
85484,高喆,,哲学院,哲学
85485,马利,,法学院,法学
85486,郭浩,,财政金融学院,应用经济学
85487,寇凤凯,,历史学院,中国史
85488,许芳亚,,法学院,法学
85489,彭炎辉,,经济学院,理论经济学
85490,田胜利,,文学院,中国语言文学
85491,吕薇,,马克思主义学院,马克思主义理论
85492,艾静,,法学院,法学
85493,M·乌兰,,历史学院,中国史
85494,商凤廷,,法学院,法学
85495,王梦纯,,文学院,中国语言文学
85496,谭诤,,经济学院,理论经济学
85497,杨光明,,历史学院,中国史
85498,黄宗文,,应用经济学院,应用经济学
85499,赵园媛,,马克思主义学院,马克思主义理论
85500,李春香,,马克思主义学院,马克思主义理论
85501,闫臻,,社会与人口学院,社会学
85502,吴丹鸿,,文学院,中国语言文学
85503,孟凡新,,社会与人口学院,社会学
85504,张瀚墨,"Hanmo, Zhang",国学院,中国语言文学
85505,李跃华,,马克思主义学院,马克思主义理论
85506,赵莹,"Zhao, Ying",劳动人事学院,公共管理
85507,桑强,,商学院,工商管理
85508,李展硕,,法学院,法学
85509,王传纶,,财政金融学院,应用经济学
85510,徐鸣,,公共管理学院,公共管理
85511,张齐明,,国学院,中国语言文学
85512,章毅,,法学院,法学
85513,陈蔚芳,,国际关系学院,政治学
85514,王彧,,文学院,中国语言文学
85515,杜宣莹,,历史学院,中国史
85516,耿晋娟,,公共管理学院,公共管理
85517,宋艳姣,,劳动人事学院,公共管理
85518,白羽,,历史学院,中国史
85519,张爱艳,,法学院,法学
85520,邱环,,哲学院,哲学
85521,左希迎,"Xiying, Zuo",国际关系学院,政治学
85522,严玉珊,,商学院,工商管理
85523,王雪楠,,马克思主义学院,马克思主义理论
85524,许雁峰,,哲学院,哲学
85525,胡奇,,劳动人事学院,公共管理
85526,王通,,国学院,中国语言文学
85527,藤井省三,,文学院,中国语言文学
85528,严海兵,,国际关系学院,政治学
85529,沈志雄,"Zhixiong, Shen",国际关系学院,政治学
85530,杨志荣,,公共管理学院,公共管理
85531,刘韬,,艺术学院,艺术学理论
85532,李卫华,,新闻学院,新闻传播学
85533,夏克强,,马克思主义学院,马克思主义理论
85534,危明星,,文学院,中国语言文学
85535,饶静,,文学院,中国语言文学
85536,韦正翔,,哲学院,哲学
85537,李金鹏,,法学院,法学
85538,桂荷发,,财政金融学院,应用经济学
85539,艾平,,历史学院,中国史
85540,曹亚男,"Cao, Yanan",文学院,中国语言文学
85541,温观音,,法学院,法学
85542,石超,,哲学院,哲学
85543,王维莉,,经济学院,理论经济学
85544,吴高臣,,法学院,法学
85545,张辰,,法学院,法学
85546,张轩辞,,文学院,中国语言文学
85547,宋晨,,商学院,工商管理
85548,喻忠杰,,文学院,中国语言文学
85549,张君周,,法学院,法学
85550,刘蒙露,,哲学院,哲学
85551,宋小克,,文学院,中国语言文学
85552,柳昱,,法学院,法学
85553,董克汨,,马克思主义学院,马克思主义理论
85554,崔易,,财政金融学院,应用经济学
85555,景风华,"Jing, Fenghua",法学院,法学
85556,万绍红,,国际关系学院,政治学
85557,魏群,,商学院,工商管理
85558,刘琨,,法学院,法学
85559,王敏光,,哲学院,哲学
85560,艾翔,,文学院,中国语言文学
85561,天雨,,商学院,工商管理
85562,张潇爽,,国际关系学院,政治学
85563,刘保,,马克思主义学院,马克思主义理论
85564,王兴华,,国际关系学院,政治学
85565,陈剑澜,,文学院,中国语言文学
85566,孙素娟,,国际关系学院,政治学
85567,乐空,,哲学院,哲学
85568,庄 芮,,经济学院,理论经济学
85569,李猛,,文学院,中国语言文学
85570,祁小春,,艺术学院,艺术学理论
85571,魏涛,,财政金融学院,应用经济学
85572,马靖,,财政金融学院,应用经济学
85573,赖婵丹,,马克思主义学院,马克思主义理论
85574,岳皞,,经济学院,理论经济学
85575,刘晓华,,法学院,法学
85576,荆楠,,文学院,中国语言文学
85577,许晶,,外国语学院,外国语言文学
85578,凡恒慧,,文学院,中国语言文学
85579,张意,,外国语学院,外国语言文学
85580,崔颖,,财政金融学院,应用经济学
85581,舒柳,,国际关系学院,政治学
85582,庞明启,,国学院,中国语言文学
85583,李蔚,"Li, Wei;Li, Wei",公共管理学院,公共管理
85584,朱俊龙,,法学院,法学
85585,李世祥,,文学院,中国语言文学
85586,周联合,,法学院,法学
85587,汪永祥,,哲学院,哲学
85588,刘容,,商学院,工商管理
85589,刘以沛,,国际关系学院,政治学
85590,王茂生,,法学院,法学
85591,邱龙宇,,国际关系学院,政治学
85592,王曜程,,新闻学院,新闻传播学
85593,陈广仁,,哲学院,哲学
85594,叶茂,,应用经济学院,应用经济学
85595,叶船,,法学院,法学
85596,褚云侠,,文学院,中国语言文学
85597,山珊,,历史学院,中国史
85598,姜哲,,文学院,中国语言文学
85599,陈金霞,,国学院,中国语言文学
85600,毛前友,"Mao, Qianyou",财政金融学院,应用经济学
85601,孙迎智,,哲学院,哲学
85602,刘冬,,统计学院,统计学
85603,周世一,,经济学院,理论经济学
85604,张小争,,新闻学院,新闻传播学
85605,耿艳丽,,劳动人事学院,公共管理
85606,李海鹏,,文学院,中国语言文学
85607,灵焚,,哲学院,哲学
85608,毕明阳,,马克思主义学院,马克思主义理论
85609,刘亚凡,,法学院,法学
85610,胡子悦,"Hu, Ziyue",哲学院,哲学
85611,李潇洋,,法学院,法学
85612,雷小政,,法学院,法学
85613,胡建雄,,经济学院,理论经济学
85614,程春华,,国际关系学院,政治学
85615,张子语,,新闻学院,新闻传播学
85616,李贤周,,财政金融学院,应用经济学
85617,陈守合,,经济学院,理论经济学
85618,汪毅夫,,社会与人口学院,社会学
85619,时霄,,文学院,中国语言文学
85620,祈年,,哲学院,哲学
85621,李先灵,,马克思主义学院,马克思主义理论
85622,谢天武,,新闻学院,新闻传播学
85623,徐慧,,经济学院,理论经济学
85624,张少辉,,文学院,中国语言文学
85625,黄南松,,国际文化交流学院,语言学
85626,黄明涛,,法学院,法学
85627,丁树桁,,经济学院,理论经济学
85628,王富百慧,,社会与人口学院,社会学
85629,李有荣,,商学院,工商管理
85630,姚建斌,,文学院,中国语言文学
85631,党喆,,财政金融学院,应用经济学
85632,邢雁欣,,哲学院,哲学
85633,胡泽恒,,哲学院,哲学
85634,陈福利,,法学院,法学
85635,沈健州,,法学院,法学
85636,万岱,,哲学院,哲学
85637,焦中栋,,新闻学院,新闻传播学
85638,朱子辉,,文学院,中国语言文学
85639,肖琳,,哲学院,哲学
85640,李研,,经济学院,理论经济学
85641,潘静,,马克思主义学院,马克思主义理论
85642,李小鸥,,文学院,中国语言文学
85643,林光华,"Lin, Guanghua",国学院,中国语言文学
85644,邱文杰,,国学院,中国语言文学
85645,徐道英,,国际关系学院,政治学
85646,齐锋,,商学院,工商管理
85647,王瑞领,,国际关系学院,政治学
85648,戴慧,,公共管理学院,公共管理
85649,马宇航,,哲学院,哲学
85650,梁海燕,,国学院,中国语言文学
85651,齐巍,,公共管理学院,公共管理
85652,胡同春,,法学院,法学
85653,吴功青,,哲学院,哲学
85654,张保红,,法学院,法学
85655,盛来运,,农业与农村发展学院,农林经济管理
85656,高波,,历史学院,中国史
85657,田喜清,,法学院,法学
85658,李艳辉,,哲学院,哲学
85659,何嘉欢,,统计学院,统计学
85660,赵宏,,劳动人事学院,公共管理
85661,陈琼珍,,哲学院,哲学
85662,苗师玮,,财政金融学院,应用经济学
85663,李跃平,,经济学院,理论经济学
85664,孙山,,法学院,法学
85665,阮神裕,,法学院,法学
85666,邓利平,,新闻学院,新闻传播学
85667,刘李星,,财政金融学院,应用经济学
85668,谢业华,,公共管理学院,公共管理
85669,朱亚培,,财政金融学院,应用经济学
85670,韦贵红,,法学院,法学
85671,闫海潮,,马克思主义学院,马克思主义理论
85672,蔡丹君,,文学院,中国语言文学
85673,王大方,,外国语学院,外国语言文学
85674,周天一,,历史学院,中国史
85675,薛睿,,马克思主义学院,马克思主义理论
85676,朱康有,,哲学院,哲学
85677,邓小燕,,文学院,中国语言文学
85678,吕壮,,国学院,中国语言文学
85679,关兵,,商学院,工商管理
85680,刘春长,,经济学院,理论经济学
85681,苏兴国,,统计学院,统计学
85682,李秀鹏,,法学院,法学
85683,任小波,,国学院,中国语言文学
85684,张君梅,,哲学院,哲学
85685,魏立帅,,马克思主义学院,马克思主义理论
85686,高学姣,,历史学院,中国史
85687,黎刚,,马克思主义学院,马克思主义理论
85688,陈小林,,经济学院,理论经济学
85689,简明,"Jian, Ming",统计学院,统计学
85690,吴佳儒,,文学院,中国语言文学
85691,季斌,,哲学院,哲学
85692,刘雅贤,,国际关系学院,政治学
85693,钟澄,,法学院,法学
85694,杨辉解,,法学院,法学
85695,杨松超,,哲学院,哲学
85696,孟盈,,新闻学院,新闻传播学
85697,张岩鸿,"Zhang, Yanhong",经济学院,理论经济学
85698,李欣燕,,经济学院,理论经济学
85699,谢彤,,法学院,法学
85700,崔永东,,法学院,法学
85701,智嘉译,,法学院,法学
85702,戴潍娜,,文学院,中国语言文学
85703,赵洪雅,,历史学院,中国史
85704,孙大海,,经济学院,理论经济学
85705,金真姬,,文学院,中国语言文学
85706,扈春香,,经济学院,理论经济学
85707,柳长浩,,法学院,法学
85708,蔡永宁,,哲学院,哲学
85709,戴弈,,经济学院,理论经济学
85710,林民望,,公共管理学院,公共管理
85711,刘卉,,哲学院,哲学
85712,薛洁,,信息资源管理学院,信息资源管理
85713,邱晔,,哲学院,哲学
85714,陆长平,,经济学院,理论经济学
85715,裴广强,,历史学院,中国史
85716,李灿金,,社会与人口学院,社会学
85717,蒋秀云,,文学院,中国语言文学
85718,胡铁成,,公共管理学院,公共管理
85719,李萌昀,,国学院,中国语言文学
85720,罗霞,,财政金融学院,应用经济学
85721,陶霖聪,,财政金融学院,应用经济学
85722,赵永磊,,历史学院,中国史
85723,韩大成,,历史学院,中国史
85724,赵湘乐,,法学院,法学
85725,刘莉萍,,哲学院,哲学
85726,叶瑞昕,,历史学院,中国史
85727,赵鹰,,哲学院,哲学
85728,丁磊,,财政金融学院,应用经济学
85729,范博文,,统计学院,统计学
85730,岳庆媛,,商学院,工商管理
85731,何劭玥,,社会与人口学院,社会学
85732,杨值珍,,国际关系学院,政治学
85733,王杨梅,,历史学院,中国史
85734,李卷林,,社会与人口学院,社会学
85735,袁淳,,商学院,工商管理
85736,徐熙,,文学院,中国语言文学
85737,李新,,商学院,工商管理
85738,孙嫣然,,法学院,法学
85739,程增艳,,信息学院,计算机科学与技术
85740,程若昕,,国学院,中国语言文学
85741,吴灵芳,,马克思主义学院,马克思主义理论
85742,王景新,"Wang, Jingxin",商学院,工商管理
85743,刘琪,,公共管理学院,公共管理
85744,樊志强,,历史学院,中国史
85745,李世杰,,社会与人口学院,社会学
85746,颜惠箭,,马克思主义学院,马克思主义理论
85747,吴家华,,马克思主义学院,马克思主义理论
85748,范继忠,,历史学院,中国史
85749,胡治宇,,社会与人口学院,社会学
85750,何树宏,,历史学院,中国史
85751,刘宇辰,,历史学院,中国史
85752,王国强,,新闻学院,新闻传播学
85753,王解静,,劳动人事学院,公共管理
85754,王法雯,,劳动人事学院,公共管理
85755,马玉婷,,艺术学院,艺术学理论
85756,王守江,,商学院,工商管理
85757,吕霞,,法学院,法学
85758,尹继红,,财政金融学院,应用经济学
85759,李本松,,哲学院,哲学
85760,庞渤,,劳动人事学院,公共管理
85761,王劲峰,,经济学院,理论经济学
85762,曹德军,,国际关系学院,政治学
85763,吴洋,,国学院,中国语言文学
85764,刘玒,,商学院,工商管理
85765,徐广军,,经济学院,理论经济学
85766,吕纯山,,哲学院,哲学
85767,魏智彬,,法学院,法学
85768,杨婕,,文学院,中国语言文学
85769,钟良灿,,国学院,中国语言文学
85770,李乃康,,公共管理学院,公共管理
85771,傅剑,,经济学院,理论经济学
85772,秦知逸,,国学院,中国语言文学
85773,丁峻峰,,统计学院,统计学
85774,杨兴,,国际关系学院,政治学
85775,聂智琪,,国际关系学院,政治学
85776,田嵩燕,,马克思主义学院,马克思主义理论
85777,查瑞传,,社会与人口学院,社会学
85778,宫志翀,,哲学院,哲学
85779,许文婕,,艺术学院,艺术学理论
85780,张晓渝,,哲学院,哲学
85781,张朝霞,,文学院,中国语言文学
85782,于莲,,哲学院,哲学
85783,陈苗苗,,新闻学院,新闻传播学
85784,苗玉柱,,商学院,工商管理
85785,舒放,,公共管理学院,公共管理
85786,张鸿浩,,法学院,法学
85787,林克光,,历史学院,中国史
85788,陆海娜,"Lu, Haina",法学院,法学
85789,赵立戎,,统计学院,统计学
85790,赵超,,国际关系学院,政治学
85791,黄煜瑜,,新闻学院,新闻传播学
85792,张新平,,公共管理学院,公共管理
85793,扈大为,,国际关系学院,政治学
85794,金竹青,,公共管理学院,公共管理
85795,胡维翊,,法学院,法学
85796,贾敏仁,,马克思主义学院,马克思主义理论
85797,邓楠,,马克思主义学院,马克思主义理论
85798,龙倩,,哲学院,哲学
85799,黄志强,,哲学院,哲学
85800,李振宁,,法学院,法学
85801,马勤勤,,文学院,中国语言文学
85802,白燕妮,,哲学院,哲学
85803,李恩来,,哲学院,哲学
85804,房博然,,艺术学院,艺术学理论
85805,陈喜贵,,哲学院,哲学
85806,陈广思,,哲学院,哲学
85807,史岩林,,文学院,中国语言文学
85808,马俊杰,,国学院,中国语言文学
85809,王恬侃,,商学院,工商管理
85810,吴雅杰,,经济学院,理论经济学
85811,刘桂珍,,新闻学院,新闻传播学
85812,董成美,,法学院,法学
85813,何群,,文学院,中国语言文学
85814,相川泰,,哲学院,哲学
85815,李思佳,,法学院,法学
85816,赵越超,,外国语学院,外国语言文学
85817,何中奎,,公共管理学院,公共管理
85818,曹招根,,新闻学院,新闻传播学
85819,王晓丽,,公共管理学院,公共管理
85820,尹星,"Xing, Yin",外国语学院,外国语言文学
85821,王山而,,新闻学院,新闻传播学
85822,王思睿,,公共管理学院,公共管理
85823,陆丽霞,,文学院,中国语言文学
85824,万新娜,,新闻学院,新闻传播学
85825,史常力,,文学院,中国语言文学
85826,易耕,,新闻学院,新闻传播学
85827,焦立为,,国际文化交流学院,语言学
85828,张果,,法学院,法学
85829,夏福英,,国学院,中国语言文学
85830,薛昊旸,,经济学院,理论经济学
85831,王莲芬,,信息学院,计算机科学与技术
85832,杨晶华,,国际关系学院,政治学
85833,孙显辉,,商学院,工商管理
85834,周秀菊,,哲学院,哲学
85835,卢祥亮,,历史学院,中国史
85836,王高升,,艺术学院,艺术学理论
85837,潘庆,,法学院,法学
85838,余书涵,,哲学院,哲学
85839,闫锐,,财政金融学院,应用经济学
85840,杜志明,,历史学院,中国史
85841,曾涛,,马克思主义学院,马克思主义理论
85842,涂毅,,商学院,工商管理
85843,尤陈俊,"You, Chenjun",法学院,法学
85844,王维依,,哲学院,哲学
85845,罗韶蓬,,经济学院,理论经济学
85846,法文宗,,财政金融学院,应用经济学
85847,于宏源,,国际关系学院,政治学
85848,黄明杰,,环境学院,环境科学与工程
85849,闻翔,,社会与人口学院,社会学
85850,董家宁,,国学院,中国语言文学
85851,汪世锦,,哲学院,哲学
85852,刘洵,,马克思主义学院,马克思主义理论
85853,朱炳聿,,马克思主义学院,马克思主义理论
85854,徐相锋,,公共管理学院,公共管理
85855,吴姗姗,,商学院,工商管理
85856,高宏生,,文学院,中国语言文学
85857,魏淑民,,历史学院,中国史
85858,李正阳,,经济学院,理论经济学
85859,苏峰,,国际关系学院,政治学
85860,罗永红,,商学院,工商管理
85861,孙鹤,,新闻学院,新闻传播学
85862,王志亮,,哲学院,哲学
85863,万曙,,文学院,中国语言文学
85864,王义军,,马克思主义学院,马克思主义理论
85865,高空,,法学院,法学
85866,高娜,,马克思主义学院,马克思主义理论
85867,张舒平,,马克思主义学院,马克思主义理论
85868,郭敬东,,国际关系学院,政治学
85869,季文茹,,公共管理学院,公共管理
85870,李聚云,,马克思主义学院,马克思主义理论
85871,李晶文,,马克思主义学院,马克思主义理论
85872,杨东梁,,历史学院,中国史
85873,奚敏敏,,商学院,工商管理
85874,谢尚发,,文学院,中国语言文学
85875,李雅惠,,新闻学院,新闻传播学
85876,罗昆,,法学院,法学
85877,滕玉军,,经济学院,理论经济学
85878,马正恺,,新闻学院,新闻传播学
85879,邓世敏,,经济学院,理论经济学
85880,程实,,法学院,法学
85881,王晔琼,,法学院,法学
85882,亓娇,,哲学院,哲学
85883,冯守东,,财政金融学院,应用经济学
85884,高丽,,财政金融学院,应用经济学
85885,田小惠,,历史学院,中国史
85886,万红先,,经济学院,理论经济学
85887,刘亚琼,,马克思主义学院,马克思主义理论
85888,史文英,,信息资源管理学院,信息资源管理
85889,席富群,,马克思主义学院,马克思主义理论
85890,邵以智,,财政金融学院,应用经济学
85891,李淑,,国学院,中国语言文学
85892,王传顺,,外国语学院,外国语言文学
85893,胡亚昆,,应用经济学院,应用经济学
85894,尹志锋,,应用经济学院,应用经济学
85895,刘永华,,经济学院,理论经济学
85896,王晓耕,,商学院,工商管理
85897,廖辉,,教育学院,教育学
85898,杨立宪,,法学院,法学
85899,孟维嘉,,马克思主义学院,马克思主义理论
85900,祝峰,,经济学院,理论经济学
85901,肖敏淇,,马克思主义学院,马克思主义理论
85902,曾祥波,,文学院,中国语言文学
85903,张伟权,,文学院,中国语言文学
85904,杨雪梅,,新闻学院,新闻传播学
85905,田扬斯,,马克思主义学院,马克思主义理论
85906,安平,,新闻学院,新闻传播学
85907,孟耕合,,哲学院,哲学
85908,袁锋,,法学院,法学
85909,李新颖,,新闻学院,新闻传播学
85910,汪思聪,,文学院,中国语言文学
85911,韦学恩,,马克思主义学院,马克思主义理论
85912,邵冬霞,,国际关系学院,政治学
85913,汤清典,,马克思主义学院,马克思主义理论
85914,李永松,,社会与人口学院,社会学
85915,杜帮云,,哲学院,哲学
85916,席伟航,,新闻学院,新闻传播学
85917,郑耀洲,,劳动人事学院,公共管理
85918,路卫华,,哲学院,哲学
85919,杨玉明,,经济学院,理论经济学
85920,陈心想,,社会与人口学院,社会学
85921,程琥,,社会与人口学院,社会学
85922,何珊君,,社会与人口学院,社会学
85923,怀铁铮,,公共管理学院,公共管理
85924,李子君,,环境学院,环境科学与工程
85925,王金磊,,马克思主义学院,马克思主义理论
85926,田晓安,,法学院,法学
85927,赵岑,,哲学院,哲学
85928,唐思慧,,信息资源管理学院,信息资源管理
85929,孙淑扬,"Sun, Shuyang",信息资源管理学院,信息资源管理
85930,杨述兴,,法学院,法学
85931,杜旸,,国际关系学院,政治学
85932,江晓薇,,经济学院,理论经济学
85933,田婷,,文学院,中国语言文学
85934,韦庆云,,新闻学院,新闻传播学
85935,魏建东,,历史学院,中国史
85936,武惠华,,国际文化交流学院,语言学
85937,杨宏亮,,统计学院,统计学
85938,陈晶晶,,哲学院,哲学
85939,邱琼,,环境学院,环境科学与工程
85940,杨耀天,,法学院,法学
85941,吴遵杰,,经济学院,理论经济学
85942,蒋剑平,,经济学院,理论经济学
85943,蔡永海,,哲学院,哲学
85944,王士皓,,历史学院,中国史
85945,郭文龙,,法学院,法学
85946,刘玉叶,,国学院,中国语言文学
85947,解海南,,国际关系学院,政治学
