author_min,author_max,zw_cooper_num,scopus_cooper_num,total_cooper_num,interdiscipline
90701,101756,1,0,1,0
89825,91275,0,1,1,0
98694,110137,1,0,1,0
108783,109736,2,1,3,0
114053,114834,0,1,1,0
97710,108127,2,0,2,0
104221,108925,2,0,2,0
103416,114124,0,1,1,1
89242,105728,0,1,1,1
99513,109097,2,0,2,0
99094,104750,1,0,1,0
112935,114928,0,1,1,0
115415,116112,0,5,5,0
94067,106255,1,0,1,0
89672,104326,1,0,1,0
102176,115133,0,1,1,0
106093,114627,0,1,1,0
90602,90603,1,0,1,0
106263,113938,0,1,1,0
93670,103833,1,0,1,0
89047,115942,0,1,1,0
99435,105473,6,0,6,1
113696,115903,0,1,1,0
99354,104477,1,0,1,0
113852,114796,0,2,2,0
92533,107189,1,0,1,0
114366,115258,0,1,1,0
89243,99243,1,0,1,0
89672,106997,1,0,1,0
97106,104067,1,0,1,0
98450,101930,1,0,1,0
106522,107918,1,0,1,0
90135,92432,0,1,1,0
104768,113501,0,2,2,0
112984,113615,0,1,1,0
105935,107866,1,0,1,0
111214,112303,1,0,1,0
103058,104735,2,0,2,0
105064,114060,0,3,3,0
90191,106419,1,0,1,0
107440,115986,0,1,1,0
98008,99558,1,0,1,0
105079,110847,1,0,1,0
100081,110089,1,0,1,0
92606,92670,0,1,1,0
99116,108739,1,0,1,1
108959,109647,3,10,13,0
92004,103411,2,0,2,0
89819,99417,1,0,1,0
114289,116367,0,1,1,0
102860,103552,1,0,1,0
104329,112867,0,1,1,0
96878,102705,2,0,2,0
102176,115033,0,1,1,0
93682,93683,1,0,1,0
99535,116130,0,1,1,0
108967,116355,0,1,1,0
104817,112683,0,1,1,0
94817,110284,1,0,1,0
94658,114082,0,1,1,0
93918,100004,2,0,2,0
97302,99945,1,1,2,0
93375,112796,0,1,1,0
94790,109625,1,0,1,0
106983,115719,0,1,1,0
102632,103416,1,0,1,0
97005,98694,1,0,1,0
100189,103622,1,0,1,0
97569,98723,1,0,1,0
105209,107191,3,0,3,0
91517,102204,0,1,1,0
93622,109979,1,0,1,0
116030,116065,0,1,1,0
114183,114584,0,1,1,1
91710,92829,1,0,1,0
94657,99441,0,1,1,0
96167,98318,1,0,1,0
103799,105389,1,0,1,0
99353,108064,4,0,4,0
92662,104768,1,0,1,0
92460,103563,1,0,1,0
103422,109354,1,0,1,0
92569,99612,2,0,2,0
107038,109539,1,0,1,0
92516,113969,0,1,1,0
94884,99921,1,0,1,0
102204,115392,0,1,1,0
91581,113928,0,4,4,0
91466,114216,0,2,2,0
104401,113300,0,1,1,0
103116,105814,1,0,1,0
101308,104902,1,0,1,0
91450,105985,1,0,1,0
93016,102060,1,0,1,0
102924,105063,3,0,3,0
95258,106178,1,0,1,0
114064,115274,0,1,1,0
97766,106281,1,0,1,0
101967,108230,1,0,1,0
91213,99830,1,0,1,0
114289,116357,0,1,1,0
92553,115909,0,1,1,0
106263,113868,0,1,1,0
98032,108580,1,0,1,0
105212,106086,1,0,1,0
99293,108517,1,0,1,0
106193,115971,0,1,1,0
91466,114224,0,5,5,0
93514,102818,1,0,1,1
90177,94256,0,2,2,0
105901,114376,0,1,1,0
97722,97723,1,0,1,0
105540,107595,1,0,1,0
101117,116191,0,8,8,0
100030,100858,1,0,1,0
91533,105263,0,2,2,0
113192,114668,0,7,7,0
92783,102267,1,0,1,0
114366,115203,0,1,1,0
105063,108306,2,0,2,0
113047,114184,0,4,4,0
96991,98366,1,0,1,0
100383,100683,2,0,2,0
113603,115820,0,1,1,0
105289,115188,0,4,4,0
99505,103395,0,1,1,0
106491,113824,0,1,1,0
103136,108302,3,4,7,0
105904,108127,1,0,1,0
91454,107907,1,4,5,0
101372,113915,0,1,1,1
113247,114241,0,7,7,0
99979,105925,1,0,1,0
98586,102075,1,0,1,0
90069,108418,3,0,3,0
96532,98427,1,2,3,0
98409,98515,1,0,1,0
91468,91525,0,2,2,0
101117,116199,0,2,2,0
109620,112177,0,1,1,0
100421,107665,2,0,2,0
106263,113880,0,2,2,0
100081,109042,1,0,1,0
99118,107155,1,0,1,0
95547,102010,0,1,1,0
102380,109422,2,0,2,0
89715,89716,1,0,1,0
91028,92828,0,1,1,0
101008,103369,1,0,1,1
98223,104059,1,0,1,0
89687,109597,0,1,1,0
99999,108475,1,0,1,0
104401,115925,0,7,7,0
92876,100051,0,2,2,0
89608,98296,1,0,1,0
114552,115033,0,1,1,0
96405,96406,1,0,1,0
99682,115269,0,1,1,0
100508,109027,1,0,1,0
93817,107565,1,0,1,0
92907,108714,1,2,3,0
113280,114157,0,3,3,0
99527,110433,1,0,1,0
100866,102940,2,0,2,0
97633,100983,1,0,1,0
93161,102778,1,0,1,0
113333,115182,0,5,5,0
101623,108063,1,0,1,0
101672,109294,1,0,1,0
99249,115110,0,2,2,0
95063,99254,0,1,1,0
96983,101315,3,0,3,0
103793,104846,1,0,1,0
114289,116314,0,1,1,0
94870,99082,1,0,1,0
95094,115173,0,1,1,0
96357,102028,1,0,1,0
113482,115344,0,2,2,0
104506,109520,1,0,1,0
98796,100588,1,0,1,0
101993,109775,0,1,1,1
90487,101785,1,0,1,0
114138,115265,0,2,2,0
91850,99060,1,0,1,0
115469,115901,0,3,3,0
92516,113919,0,2,2,0
113135,116100,0,2,2,0
114898,116397,0,1,1,0
101117,104166,1,0,1,1
94925,94926,1,0,1,0
92851,101798,1,0,1,0
102369,114234,0,3,3,0
96522,115068,0,1,1,0
103299,108728,1,0,1,0
103500,104531,1,0,1,0
103388,104401,2,0,2,0
92579,109564,1,0,1,0
100189,101026,4,0,4,0
93499,104077,1,0,1,0
92516,113900,0,6,6,0
95548,112955,0,4,4,0
101422,103167,0,1,1,0
98119,113524,0,3,3,0
108026,115508,0,1,1,0
91525,94200,0,1,1,0
94017,100354,1,0,1,0
104867,106628,1,0,1,0
114696,115140,0,1,1,0
91052,106544,1,0,1,0
107525,116419,0,3,3,0
102369,114224,0,1,1,0
92186,99311,0,1,1,0
95083,100076,1,0,1,0
90423,99904,0,3,3,0
101992,102468,1,0,1,0
103171,112680,0,1,1,1
103713,108840,2,0,2,0
94865,98694,1,0,1,0
90615,109171,1,0,1,0
94013,110289,1,0,1,0
91874,108288,2,0,2,0
100380,103297,1,0,1,0
91563,96586,0,1,1,0
115722,116131,0,5,5,0
89633,101322,0,1,1,0
89670,105928,2,0,2,0
90354,102109,1,0,1,0
88548,115333,0,1,1,0
114171,115187,0,1,1,0
93320,109940,3,1,4,0
90463,99457,1,0,1,0
99133,105498,2,0,2,0
100905,103713,6,0,6,0
103441,109705,1,0,1,0
98842,104867,1,0,1,0
97694,107309,1,0,1,0
89908,99082,1,1,2,0
90394,103966,1,0,1,0
109802,109804,1,0,1,0
101117,116184,0,1,1,0
109982,116376,0,2,2,0
98258,115323,0,1,1,0
94972,99599,1,0,1,0
105540,107524,1,0,1,0
99904,110891,0,1,1,0
107558,114648,0,1,1,1
99628,104599,2,0,2,0
94487,110008,1,0,1,0
113047,114179,0,3,3,0
97678,104346,1,0,1,0
98436,108368,2,0,2,0
93463,98310,2,0,2,0
89105,89107,1,0,1,0
89105,89106,1,0,1,0
91922,114611,0,1,1,1
100623,106257,0,2,2,0
96967,96968,1,0,1,0
113805,114401,0,1,1,0
101514,107204,0,1,1,0
91068,92392,1,0,1,0
